sno,url
1,https://www.usa.gov
2,https://www.whitehouse.gov
3,https://www.congress.gov
4,https://www.supremecourt.gov
5,https://www.data.gov
6,https://www.irs.gov
7,https://www.nasa.gov
8,https://www.cia.gov
9,https://www.fbi.gov
10,https://www.state.gov
11,https://www.treasury.gov
12,https://www.defense.gov
13,https://www.justice.gov
14,https://www.interior.gov
15,https://www.usda.gov
16,https://www.commerce.gov
17,https://www.dol.gov
18,https://www.hhs.gov
19,https://www.hud.gov
20,https://www.transportation.gov
21,https://www.energy.gov
22,https://www.ed.gov
23,https://www.va.gov
24,https://www.dhs.gov
25,https://www.epa.gov
26,https://www.ssa.gov
27,https://www.opm.gov
28,https://www.sec.gov
29,https://www.fcc.gov
30,https://www.ftc.gov
31,https://www.cdc.gov
32,https://www.nih.gov
33,https://www.fda.gov
34,https://www.noaa.gov
35,https://www.census.gov
36,https://www.nps.gov
37,https://www.peacecorps.gov
38,https://www.archives.gov
39,https://www.loc.gov
40,https://www.si.edu
41,https://www.nsf.gov
42,https://www.fema.gov
43,https://www.tsa.gov
44,https://www.cbp.gov
45,https://www.ice.gov
46,https://www.medicare.gov
47,https://www.benefits.gov
48,https://www.grants.gov
49,https://www.usajobs.gov
50,https://www.ready.gov
51,https://www.ca.gov
52,https://www.ny.gov
53,https://www.texas.gov
54,https://www.florida.gov
55,https://www.illinois.gov
56,https://www.pa.gov
57,https://www.ohio.gov
58,https://www.georgia.gov
59,https://www.michigan.gov
60,https://www.wa.gov
61,https://www.harvard.edu
62,https://www.stanford.edu
63,https://www.mit.edu
64,https://www.yale.edu
65,https://www.princeton.edu
66,https://www.columbia.edu
67,https://www.cornell.edu
68,https://www.upenn.edu
69,https://www.uchicago.edu
70,https://www.berkeley.edu
71,https://www.ucla.edu
72,https://www.umich.edu
73,https://www.cornell.edu
74,https://www.jhu.edu
75,https://www.northwestern.edu
76,https://www.duke.edu
77,https://www.nyu.edu
78,https://www.gatech.edu
79,https://www.utexas.edu
80,https://www.uw.edu
81,https://www.nic.in
82,https://www.india.gov.in
83,https://www.mygov.in
84,https://www.digitalindia.gov.in
85,https://www.uidai.gov.in
86,https://www.isro.gov.in
87,https://www.rbi.org.in
88,https://www.mha.gov.in
89,https://www.meity.gov.in
90,https://www.finmin.nic.in
91,https://www.iitb.ac.in
92,https://www.iitd.ac.in
93,https://www.iitk.ac.in
94,https://www.iitm.ac.in
95,https://www.iitkgp.ac.in
96,https://www.gov.uk
97,https://www.education.gov.uk
98,https://www.nhs.uk
99,https://www.ox.ac.uk
100,https://www.cam.ac.uk
101,https://www.australia.gov.au
102,https://www.canada.ca
103,https://www.nsw.gov.au
104,https://www.vic.gov.au
105,https://www.usps.gov
106,https://www.sba.gov
107,https://www.nrc.gov
108,https://www.eeoc.gov
109,https://www.osc.gov
110,https://www.peacecorps.gov
