sno,url,label
1,br-icloud.com.br,1
2,mp3raid.com/music/krizz_kaliko.html,1
3,bopsecrets.org/rexroth/cr/1.htm,1
4,http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,1
5,http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=ahr0cdovl2fkdmvudhvyzs1uawnhcmfndweubmv0l2luzgv4lnbocd9vchrpb249y29tx2nvbnrlbnqmdmlldz1hcnrpy2xljmlkptq3omfib3v0jmnhdglkptm2omrlbw8tyxj0awnszxmmsxrlbwlkptu0,1
6,http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,1
7,espn.go.com/nba/player/_/id/3457/brandon-rush,1
8,yourbittorrent.com/?q=anthony-hamilton-soulife,1
9,http://www.pashminaonline.com/pure-pashminas,1
10,allmusic.com/album/crazy-from-the-heat-r16990,1
11,corporationwiki.com/ohio/columbus/frank-s-benson-p3333917.aspx,1
12,http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,1
13,myspace.com/video/vid/30602581,1
14,http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,1
15,http://www.szabadmunkaero.hu/cimoldal.html?start=12,1
16,http://larcadelcarnevale.com/catalogo/palloncini,1
17,quickfacts.census.gov/qfd/maps/iowa_map.html,1
18,nugget.ca/articledisplay.aspx?archive=true&e=1160966,1
19,uk.linkedin.com/pub/steve-rubenstein/8/718/755,1
20,http://www.vnic.co/khach-hang.html,1
21,baseball-reference.com/players/h/harrige01.shtml,1
22,signin.eby.de.zukruygxctzmmqi.civpro.co.za,1
23,192.com/atoz/people/oakley/patrick,1
24,nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,1
25,escholarship.org/uc/item/5xt4952c,1
26,songfacts.com/detail.php?id=13410,1
27,casamanana.org/education/blba,1
28,http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics,1
29,http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8,1
30,en.wikipedia.org/wiki/north_dakota,1
31,soaps.sheknows.com/daysofourlives/news/id/20259/days_of_our_lives_casts_ruta_lee,1
32,perfectpeople.net/celebrity-star/6920/gidget-gein.htm,1
33,media.caltech.edu/press_releases/13186,1
34,wikiobits.com/obits/tonyproudfoot,1
35,vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,1
36,http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&itemid=70,1
37,movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,1
38,cyndislist.com/us/pa/counties,1
39,http://www.824555.com/app/member/sportoption.php?uid=guest&langx=gb,1
40,http://www.raci.it/component/user/reset.html,1
41,https://docs.google.com/spreadsheet/viewform?formkey=dgg2z1lcuhlsdjlltvnruw50tfizske6mq,1
42,psychology.wikia.com/wiki/phonemes,1
43,info.centriq.com/content/fivereasons,1
44,articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,1
45,infinitysw.com,1
46,strawberrycreekgardens.com,1
47,http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,1
48,spoke.com/dir/p/desantis/nick,1
49,wordsmith.org/words/pignus.html,1
50,http://interpark.com/displaycorner/freemarket.do?_method=itemcatelist&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,1
51,http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,1
52,http://www.kingsmillshotel.com/spring/mothers-day,1
53,almanac.logos.com/denominations,1
54,gaming.wikia.com/wiki/backbreaker_(video_game),1
55,ceu.hu,1
56,registry.weddingchannel.com/coupledir/20108/c/r314763282/jared_clough_and_tajai_ritchie.htm,1
57,linkedin.com/pub/george-cleveland/7/80a/599,1
58,sunshinemills.com,1
59,agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,1
60,ctv.ca/generic/webspecials/sponsorship_scandal,1
61,http://www.approvi.com.br/ck.htm,1
62,http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&itemid=2,1
63,veoox.com/tags/game.html,1
64,chuckwalkertrio.blogspot.com,1
65,aerosolesshoes.org,1
66,http://www.juventudelirica.com.br/index.html,1
67,http://www.myenrg.com/southwest/9-texas,1
68,recipelink.com/msgbrd/board_14/2007/dec/29094.html,1
69,http://www.musimagen.com/lista_socios.php?letra=\303%91,1
70,ideas.repec.org/f/pma235.html,1
71,peopleaz.org/firstname/fowlkes/6,1
72,orensamtraktrip.wordpress.com,1
73,retajconsultancy.com,1
74,alexa.com/whatshot?q=james+arness,1
75,jpopasia.com/group/arashi/discography,1
76,kitsapsun.com/photos/2011/feb/25/177999,1
77,local.yahoo.com/info-42862457-oakland-international-airport-oakland,1
78,tripadvisor.com/restaurant_review-g680765-d1768647-reviews-yacha_yacha-miyakojima_okinawa_prefecture_kyushu_okinawa.html,1
79,articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman,1
80,broadwaystars.com/classic/?source=www.playbill.com,1
81,http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,1
82,forums.networkinfrastructure.info/motorola-wireless-lan-switches,1
83,youtube.com/watch?v=mwpopq1spju,1
84,mccall-idchamber.org,1
85,chacha.com/question/who-said-the-quote-%27say-what-you-mean%2c-mean-what-you-say-and-put-a-beat-to-it%27,1
86,friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,1
87,http://asociacionkaribu.org/index.php/servicios/centro-jambo,1
88,http://www.martin-busker.de/administrator/help/en-gb/css/facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,1
89,pipl.com/directory/name/whissell/180,1
90,spokeo.com/john+collet,1
91,http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,1
92,http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2,1
93,faqs.org/copyright/handbook-for-the-individual-or-group-culture-free,1
94,duckduckgo.com/1/c/roman_catholic_cathedrals_in_canada,1
95,alexpay2.beget.tech,1
96,http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel,1
97,http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,1
98,en.wikipedia.org/wiki/lloyd_bacon,1
99,http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,1
100,http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&itemid=297,1
101,ciajfk.com/harold.html,1
102,http://www.protect-effect.nl/diensten/62-telefonie,1
103,indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,1
104,linkedin.com/pub/charles-gariepy/2/642/28,1
105,http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,1
106,facebook.unitedcolleges.net,1
107,http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/apple-id/3d465e25b47e6bc23ae55f5de40e1bb1,1
108,eyeappealoptometry.com,1
109,brophygen.com,1
110,icehockey.wikia.com/wiki/dan_blackburn,1
